Step Type,Target Page,Step Number,Step Title,Option
Instructional Step,WsRepo : UMR-106 Cell Plating and Starvation_PTHrP,1,1,
Customized Step,WsRepo : UMR-106 Cell Plating and Starvation_PTHrP,1,1,
WashProgram Step,WsRepo : Worksheet Stepifier,1,Test WashStep 1,
Incubation,WsRepo : Worksheet Stepifier,2,2 Test Incubation Step,Interval Duration
Instructional Step,WsRepo : Worksheet Stepifier,3,3 Test Instructional Step,
N/A Step,WsRepo : Worksheet Stepifier,4,4 Test NA Step,
,,,,
Customized Step,WsRepo : Worksheet Stepifier,5,5 Test Customized Step,
N/A Step,WsRepo : Worksheet Stepifier,4,4 Test NA Step,
,,,,
N/A Step,WsRepo : Worksheet Stepifier,4,4 Test NA Step,
,,,,
Incubation,WsRepo : test2,1,1,Interval Duration
Customized Step,WsRepo : TEST WS,9,PreWarm 9,
Customized Step,WsRepo : TEST WS,9,PreWarm 9,
Customized Step,WsRepo : TEST WS,2,2,
Customized Step,WsRepo : TEST WS,232,232,
Customized Step,WsRepo : TEST WS,9,PreWarm 9,
Incubation,WsRepo : TEST WS,1,1,Interval Duration
Incubation,WsRepo : Worksheet of Quantification of KRN23 in Human Serum Samples Using a Validated Electrochemiluminescence Method,1,1,Interval Duration
WashProgram Step,WsRepo : Worksheet of Quantification of KRN23 in Human Serum Samples Using a Validated Electrochemiluminescence Method,2,2,
Incubation,WsRepo : Worksheet of Quantification of KRN23 in Human Serum Samples Using a Validated Electrochemiluminescence Method,3,3,Interval Duration
Instructional Step,WsRepo : Worksheet of Quantification of KRN23 in Human Serum Samples Using a Validated Electrochemiluminescence Method,4,4,
WashProgram Step,WsRepo : Worksheet of Quantification of KRN23 in Human Serum Samples Using a Validated Electrochemiluminescence Method,5,5,
Incubation,WsRepo : Worksheet of Quantification of KRN23 in Human Serum Samples Using a Validated Electrochemiluminescence Method,6,6,Interval Duration
WashProgram Step,WsRepo : Worksheet of Quantification of KRN23 in Human Serum Samples Using a Validated Electrochemiluminescence Method,7,7,
